Plot,cluster7,Strata,Litter_m2,BM_yield_m2,cov_herb,cov_litter,cov_soil,latitude,longitude,fire_freq_MODIS,rec_fire_field_obs,fire_freq_check,lastfire_MODIS,lastfire_check,timesincefire_check,dung_livestock,dung_horse,dung_cattl,dung_sheepgoat,n_souslik_burrows,CWMheight,LF_530,LF_3060,pH_530,Sand_530,dist_settl_km
GR01,1,GR,,54.84,30,1,70,50.75590244,65.07355495,0,0,0,0,0,17,17,2,5,10,2,12.52083333,24.1,181.1,8.19,6.6,2.112
GR02,2,GR,9.34,69.6,40,1,60,50.71409167,64.83721521,0,0,0,0,0,17,4,1,3,0,0,21.1547619,316,960,8.82,30.4,1.865
GR03,3,GR,,54.76,40,0,60,50.78973114,65.05940169,0,0,0,0,0,17,5,0,3,2,0,15.5,221,1082,8.47,2.2,0.873
GR04,4,GR,80.42,153.32,50,30,20,50.76440513,65.10558782,0,0,0,0,0,17,7,1,6,0,1,17.95673077,8.3,27.4,7.26,8.8,2.786
GR05,3,GR,,65.82,40,0,60,50.7218798,64.89634987,0,0,0,0,0,17,6,6,0,0,1,18.95121951,536,1096,8.59,12,2.369
GR06,5,GR,,83.76,40,2,60,50.54910346,64.84392894,0,0,0,0,0,17,14,10,3,1,0,20.55232558,20.9,294,8.34,41.4,2.462
GR07,6,GR,,57.76,50,5,45,50.80448655,65.07203515,0,0,0,0,0,17,5,0,5,0,0,16.67857143,187.3,962,6.93,4.7,2.399
GR09,5,GR,,67.5,40,1,59,50.72751688,64.85646861,0,0,0,0,0,17,22,5,5,12,2,13.34756098,19.5,77,7.9,25.6,1.629
GR10,5,GR,,57.58,80,10,10,50.70611604,64.84870663,0,0,0,0,0,17,17,2,12,3,2,21.41463415,12.6,83.2,7.33,29.5,1.313
GR11,2,GR,,258.6,40,3,60,50.69910935,64.91079692,0,0,0,0,0,17,0,0,0,0,0,21.77777778,99.9,1267,8.45,18.5,3.538
GR13,7,GR,,42.78,35,2,65,50.56849399,64.82633617,0,0,0,0,0,17,10,1,5,4,0,17.09090909,54.3,83.9,7.78,39,1.559
GR14,5,GR,,61.9,50,5,48,50.52832204,64.83628071,0,0,0,0,0,17,9,3,2,4,0,26.11842105,126,649,8.87,52.3,3.616
GR15,3,GR,,21.34,20,1,80,50.77753723,65.04310668,0,0,0,0,0,17,9,2,0,7,0,12.425,503,1891,8.7,21.3,1.298
GR16,1,GR,,171.54,20,40,40,50.70949403,64.92190571,0,0,0,0,0,17,1,0,1,0,3,22.07692308,69.2,137.9,8.52,20.3,3.983
GR17,4,GR,17.22,142.04,60,2,40,50.69167821,64.87220018,0,0,0,0,0,17,7,4,2,1,3,18.41923077,107.1,108.6,8.49,7.6,2.388
GR18,3,GR,,31.88,30,3,70,50.55046275,64.82327619,0,0,0,0,0,17,24,3,1,20,0,15.91447368,333,1650,8.11,19.2,1.136
GR19,3,GR,,61.22,30,0,70,50.76973468,65.07074517,0,0,0,0,0,17,15,0,5,10,5,13,157.3,700,9.03,5.9,0.568
GR20,2,GR,,44.6,35,3,65,50.79110024,65.06914926,0,0,0,0,0,17,5,1,4,0,1,21,104.3,1446,8.51,1.8,0.897
GR22,2,GR,,51.86,60,3,40,50.79945188,65.0707093,0,0,0,0,0,17,9,0,9,0,0,20.67692308,856,759,4.81,5.8,1.832
GR23,1,GR,51.48,183.76,50,20,30,50.73574296,64.8692842,0,0,0,0,0,17,5,2,3,0,0,31.00471698,174.1,1012,8.94,8.7,2.456
GR24,5,GR,24,126.54,40,10,55,50.72903953,64.88943648,0,0,0,0,0,17,11,6,3,2,2,16.29761905,192.1,90.5,8.48,39.4,2.427
GR25A,1,GR,,38.46,30,1,70,50.77291,65.12544,0,0,0,0,0,17,24,5,10,9,2,12.86206897,194.2,589,8.11,7.7,3.851
GR26,2,GR,,84.5,45,10,45,50.70240302,64.83153446,0,0,0,0,0,17,7,4,2,1,0,22.55681818,308,1346,8.34,14.2,2.573
GR27,6,GR,,56.1,50,2,50,50.79554239,65.0634613,0,0,0,0,0,17,4,0,3,1,1,16.1875,251,1010,9.03,2.6,1.434
GR28,7,GR,,83.6,25,2,75,50.54632813,64.83456326,0,0,0,0,0,17,8,1,5,2,0,17.62037037,21.3,414,7.8,53.7,2.047
GR29,3,GR,,64.04,35,5,60,50.68218034,64.89273325,0,0,0,0,0,17,1,0,1,0,3,15.92567568,158.9,1408,8.39,1.6,3.929
GR30,2,GR,,75.14,40,10,50,50.73358764,64.87945623,0,0,0,0,0,17,5,1,4,0,2,19.65909091,813,3380,7.57,15.7,2.428
GR31,2,GR,,70.36,50,4,48,50.71325272,64.8923978,0,0,0,0,0,17,5,0,5,0,1,16.50877193,692,3480,8.07,31,1.879
GR32,7,GR,,57.1,25,1,75,50.77157719,65.03036602,0,0,0,0,0,17,17,1,10,6,4,15.65178571,261,901,8.91,14,2.367
GR33,7,GR,,52.3,35,2,65,50.78629808,65.01361865,0,0,0,0,0,17,16,6,8,2,4,19.1637931,227,1214,8.55,21.9,3.376
GR34,1,GR,,82.06,45,1,55,50.79518407,65.04451325,0,0,0,0,0,17,13,0,13,0,4,19.88636364,53.6,360,7.82,3.7,1.926
GR35,2,GR,,64.08,60,2,40,50.79813802,65.07759511,0,0,0,0,0,17,4,1,3,0,1,21.375,528,1986,7.78,1.5,1.798
GR36,2,GR,,74.58,35,5,60,50.68753461,64.83072351,0,1,1,0,2005,11,6,1,5,0,2,22.04166667,378,910,9.34,19.3,3.656
GR37,2,GR,,40.56,30,2,70,50.5712513,64.86413461,0,1,1,0,2002,14,12,5,7,0,0,14.21774194,197.8,3430,8.88,16.2,3.988
GR39,4,GR,22.52,112.28,45,20,35,50.76887201,65.11201188,0,0,0,0,0,17,18,4,14,0,15,19.25531915,50.1,112.3,8.19,5.7,3.034
GR40,6,GR,,92.94,60,5,35,50.79856742,65.09501606,0,0,0,0,0,17,7,1,6,0,0,16.5,433,1054,7.75,1.2,2.548
GR41,5,GR,,71.34,40,8,55,50.71402562,64.90094148,0,0,0,0,0,17,10,2,6,2,2,20.91463415,18.2,29.1,7.61,60.5,2.484
GR42,5,GR,,55.56,55,10,35,50.69495603,64.84663412,0,0,0,0,0,17,13,3,6,4,1,24.25,224,702,8.49,48.4,2.321
GR43,5,GR,20.96,105.04,60,5,38,50.55765124,64.8529638,0,0,0,0,0,17,15,5,10,0,0,21.3203125,16.6,52.3,7.82,46,2.905
GR44,5,GR,14.6,90.52,35,15,55,50.71990485,64.90986024,0,0,0,0,0,17,9,0,8,1,3,19.83108108,16.5,11.1,7.75,63.4,3.203
GR45A,3,GR,,72.82,22,1,77,50.71962,64.86316,0,0,0,0,0,17,22,2,3,17,9,13.60869565,161.4,1135,8.4,20.9,0.652
GR46,2,GR,,34.1,45,8,50,50.78951865,65.10248735,0,0,0,0,0,17,4,1,1,2,0,14.28333333,1308,1696,6.05,1.9,2.466
GR47,3,GR,9.84,67.1,45,10,50,50.72839153,64.87831352,0,0,0,0,0,17,19,2,11,6,3,29.03723404,286,2390,7.93,18.6,1.879
GR48,5,GR,,104.92,50,5,48,50.56047,64.83198,0,0,0,0,0,17,6,6,0,0,0,26.48770492,43.7,216,7.62,25.7,1.45
