OBJECTID,Name,Category,Status1990,Status2015,MapDate,Comments,Example,Image_type,Image_date,CattleShed,Ncells_Grassl450m,MeanGrasslCov,Ncells_FireFreq,MeanFireFreq,Lon,Lat,Ncells_BA90,BA_proportion_1990,Ncells_BA2000,BA_proportion_2000,Ncells_BA2015,BA_proportion_2015,Shape_Length,Shape_Area
1,Ursak,Zimovka,100,100,1986,-/-,0,bing,2016/2017,0,250,0.933582215,238,0.079831933,64.15327454,48.59529495,248,0,248,0.016111111,248,0.00609319,0.286247776,0.006125768
2,Zharbidaik,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.804964176,241,0.215767635,64.19433594,48.46744919,249,0,249,0.020348059,249,0.005051316,0.285782707,0.006110503
3,Buiratkamys,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,252,0.783121689,239,0.09623431,64.1040802,48.36780167,248,0,248,0.017867383,248,0.022419355,0.285422619,0.00609868
4,Bolshoi Sazymbai,Zimovka,100,0,1986,google (bad quality),0,bing,2016/2017,0,244,0.631621101,239,0.0041841,64.4475174,48.59275055,250,0,250,0,250,0,0.286238479,0.006125463
5,Baskuduk,Zimovka,100,0,1986,google (bad quality),0,bing,2016/2017,0,248,0.683064522,241,0.165975104,64.42678833,48.66443634,248,0,248,0,248,0,0.286500761,0.006134069
6,Baskol,Zimovka,100,0,1986,google (bad quality),0,bing,2016/2017,0,247,0.762771058,241,0.605809129,64.4713974,48.50860977,246,0.005347787,246,0.097633243,246,0,0.285932045,0.006115406
7,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.777777763,241,0,64.02027893,48.28762054,250,0,250,0,250,0,0.285134414,0.006089213
8,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.736752148,239,0.025104603,64.07645416,48.31873322,250,0,250,0.006702222,250,0.00192,0.285246089,0.006092881
9,n/a,Letovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.751598934,238,0.050420168,64.08236694,48.32421494,248,0,248,0.006756272,248,0.005017921,0.285265778,0.006093528
10,n/a,Letovka,100,100,1986,-/-,0,bing,2016/2017,0,253,0.58745719,238,0,63.96282196,48.27617645,250,0,250,0,250,0.000746667,0.285093389,0.006087865
11,Astankol,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,252,0.592416227,239,0.133891213,63.92041016,48.23205566,246,0,246,0.042999097,246,0.024805781,0.284935487,0.006082677
12,Karakoga,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,245,0.921904759,240,0.358333333,63.51391983,48.60977173,249,0,249,0.021740295,249,0.027309237,0.286300689,0.006127504
13,Moinak,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,251,0.818503756,240,0.3125,63.65527725,48.56285477,252,0,252,0.047195768,252,0.01962963,0.286129459,0.006121885
14,Shoshkakol,Settlement,100,0,1986,"fully abandoned, abandoned livestock stations",0,bing,2016/2017,1,247,0.434331992,245,0.53877551,63.87825775,48.54007339,248,0,248,0.101057348,248,0,0.286046472,0.006119162
15,Shopshapkan,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,251,0.821938911,239,0.380753138,63.94256973,48.58126831,246,0.030009034,246,0.026251129,246,0.005203252,0.286196595,0.006124089
16,Donsary,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,248,0.784301085,241,0.44813278,63.74975204,48.59228516,246,0.007461608,246,0.006666667,246,0.015158085,0.28623681,0.006125408
17,n/a,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.834295989,242,0.004132231,63.79247284,48.64805222,249,0,249,0.000821062,249,0.009888443,0.286440737,0.006132099
18,Togyskeben,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,243,0.947544586,240,0.204166667,63.7412529,48.66078186,248,0,248,0.006308244,248,0.01016129,0.286487382,0.00613363
19,Kadyrbidaik,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,246,0.868274633,238,0.529411765,63.31923676,48.62798691,249,0.014136546,249,0.012833556,249,0.009888443,0.286367295,0.00612969
20,Sovkhoz Yuzhnii,Zimovka,100,0,1986,clearly abandoned,0,bing,2016/2017,0,247,0.956689172,241,0.572614108,63.44202042,48.55230713,247,0,247,0.016320288,247,0.06551507,0.286091035,0.006120624
21,Kumkol,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,246,0.955085823,245,0.73877551,62.6032753,49.78012085,247,0.021304543,247,0.009212776,247,0.041997301,0.290729789,0.006272516
22,Kumkol,Settlement,100,50,1962,abandoned livestock stations (also adjacent),0,bing,2016/2017,1,248,0.901684612,247,0.246963563,62.70998383,49.72755814,248,0.003136201,248,0,248,0.061326165,0.290524171,0.006265797
23,Zhalzhibek,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,241,0.932724766,246,0.837398374,62.82003403,49.8408165,246,0,246,0,246,0,0.290968021,0.006280298
24,n/a,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,250,0.871448901,246,0.170731707,62.68742371,49.70018768,253,0.001844532,253,0,253,0.185155907,0.290417351,0.006262307
25,Shortandy,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,241,0.828344861,249,0.497991968,62.88861465,49.72754669,243,0,243,0.100374942,243,0.00342021,0.290524121,0.006265796
26,Zhanabaidos,Zimovka,100,0,1962,clearly abandoned,0,bing,2016/2017,0,248,0.770734761,245,1.155102041,62.93146133,49.82479095,249,0.006639893,249,0.014886211,249,0.004462294,0.290905027,0.00627824
