;LDMC;SLA;height;growthform;life_history;clonal_strategy;lat_spread;leaf_distr
Achillea nobilis;278;19.2;27.16666667;forb;perennial;phalanx;sev_stems;leafystem
Adonis wolgensis;255;19.7;13.25;forb;perennial;phalanx;sev_stems;leafystem
Agropyron cristatum;489;9.4;27.71691176;grass;perennial;phalanx;tussock;leafystem
Allium delicatulum;;;;forb;perennial;none;sev_stems;(semi)rosette
Allium flavescens;119;13.5;10.333333;forb;perennial;none;sev_stems;(semi)rosette
Allium lineare;;;;forb;perennial;none;sev_stems;(semi)rosette
Allium pallasii;;;;forb;perennial;none;sev_stems;leafystem
Allium sp;;;;forb;perennial;none;sev_stems;(semi)rosette
Alopecurus pratensis;;;37.25;grass;perennial;phalanx;tussock;leafystem
Alyssum turkestanicum;277;14;7.875;forb;ann/biennial;none;sgl_shoot;leafystem
Anabasis salsa;260;3.7;8.982142857;forb_woody;perennial;none;sev_stems;leafystem
Androsace maxima;;;2;forb;ann/biennial;none;sgl_shoot;(semi)rosette
Arabidopsis thaliana;;;;forb;ann/biennial;none;sgl_shoot;(semi)rosette
Arabidopsis toxophylla;;;;forb;ann/biennial;none;sev_stems;leafystem
Arenaria koriniana;346;11.7;15;forb;perennial;phalanx;sev_stems;leafystem
Arenaria leptoclados;;;7.5;forb;ann/biennial;none;sgl_shoot;leafystem
Arenaria longifolia;;;31.5;forb;perennial;phalanx;sev_stems;leafystem
Artemisia austriaca;445;14.9;9.59375;forb;perennial;guerilla;sgl_shoot;leafystem
Artemisia dracunculus;210;14;38.6875;forb;perennial;phalanx;sev_stems;leafystem
Artemisia gracilescens;317;15.9;17.73611111;forb_woody;perennial;none;sev_stems;leafystem
Artemisia lercheana;;;19.55;forb_woody;perennial;none;sev_stems;leafystem
Artemisia marschalliana;255;23.6;30.64285714;forb;perennial;none;sev_stems;leafystem
Artemisia nitrosa;328;13.6;19.03308824;forb_woody;perennial;none;sev_stems;leafystem
Artemisia pauciflora;324;16.2;19.14453125;forb_woody;perennial;none;sev_stems;leafystem
Artemisia pontica;383;25.4;20.375;forb;perennial;guerilla;sgl_shoot;leafystem
Artemisia schrenkiana;329;17.3;17.35;forb_woody;perennial;none;sev_stems;leafystem
Artemisia tomentella;;;19.75;forb;perennial;none;sev_stems;leafystem
Astragalus cornutus;409;7.4;58;forb;perennial;none;sev_stems;leafystem
Astragalus longipetalus;;;10;forb;perennial;none;sgl_shoot;(semi)rosette
Atraphaxis frutescens;338;9.3;26.25;dwarfshrub;perennial;none;sev_stems;leafystem
Atraphaxis replicata;;;;dwarfshrub;perennial;none;sev_stems;leafystem
