Species,year,LDMC,SLA (mm² mg^-1)
Achillea micrantha,2016,354.8275862,
Achillea nobilis,2017,252,15.6434127
Achillea nobilis,2017,375.6410256,10.65607509
Achillea nobilis,2017,303.125,10.66492268
Achillea nobilis,2017,338.7931034,11.14111959
Achillea nobilis,2016,287.7205882,18.88590595
Achillea nobilis,2016,268.4057971,19.60228672
Achnatherum splendens,2017,421.978022,7.485849609
Achnatherum splendens,2017,379.6296296,7.131571429
Acroptilon repens,2017,239.4607843,12.4167042
Acroptilon repens ,2017,182.4652778,15.25852521
Adonis volgensis,2016,254.9107143,19.68802802
Adonis volgensis,2017,311.3333333,14.43740899
Adonis volgensis,2017,282.5242718,15.44132302
Agropyron pectinatum,2017,336.6666667,12.10881188
Agropyron pectinatum,2017,360,16.24361111
Agropyron pectinatum,2017,487.5,10.13455128
Agropyron pectinatum,2017,480.3030303,9.553249211
Agropyron pectinatum,2017,325.5681818,19.82069808
Agropyron pectinatum,2016,444.0816327,8.666647518
Agropyron pectinatum,2016,533.559322,10.22130559
Alhagi pseudalhagi,2017,294.017094,5.427267442
Alhagi pseudalhagi,2017,248.75,8.204472362
Allium flavescens,2017,152.5,14.06419672
Allium flavescens,2016,118.96,13.49425689
Alopecurus pratensis,2017,427.5,14.03330409
Alopecurus pratensis,2017,459.5041322,10.18296763
Alyssum turkestanicum,2016,243.0434783,13.74973166
Alyssum turkestanicum,2016,311.1111111,14.222
Anabasis salsa,2016,235.8064516,5.315649795
Anabasis salsa,2016,282.6530612,2.908676294
Anabasis salsa,2016,262.5930521,2.963304985
Anabasis truncata,2017,214.9390244,3.781801418
Anabasis truncata,2017,249.3464052,2.929667977
Ancathia igniaria ,2017,324.6753247,11.41106
Ancathia igniaria ,2017,389.3280632,6.471370558
Artemisia abrotanum,2017,232.1428571,28.70266667
Artemisia austriaca,2016,457.9710145,13.22544304
Artemisia austriaca,2016,431.2820513,16.60109394
Artemisia dracunculus,2017,233.8235294,12.00443396
Artemisia dracunculus,2017,287.195122,11.49428875
Artemisia dracunculus,2017,256.6666667,12.91175325
Artemisia dracunculus,2016,210.4504505,14.01866866
Artemisia gracilescens,2016,348.4297521,13.47285914
Artemisia gracilescens,2016,286.3793103,18.41636966
Artemisia latifolia,2017,345.8333333,12.40110077
Artemisia latifolia,2016,255.8454106,12.15774169
Artemisia marschalliana,2017,248,11.2938172
Artemisia marschalliana,2016,254.8639456,23.56087871
Artemisia nitrosa,2017,323.3333333,10.80737113
Artemisia nitrosa,2017,485.8695652,7.318411633
Artemisia nitrosa,2017,354,9.126186441
Artemisia nitrosa,2016,327.032967,13.73855511
Artemisia nitrosa,2016,329.4067797,13.52186776
Artemisia pauciflora,2017,440.625,6.14787234
Artemisia pauciflora,2016,367.8723404,16.50481665
Artemisia pauciflora,2016,307.0967742,17.57345588
Artemisia pauciflora,2016,296.5217391,14.63109971
Artemisia pontica,2017,356.0606061,11.39948936
Artemisia pontica,2017,432,12.75361111
Artemisia pontica,2017,352.2222222,15.84788644
Artemisia pontica,2017,420.8333333,10.8749505
Artemisia pontica,2016,382.7956989,25.43119382
Artemisia schrenkiana,2016,328.6666667,17.31075727
Asparagus,2017,266.2962963,6.364589708
Astragalus buchtormiensis,2017,321.563981,8.529985262
Astragalus buchtormiensis,2017,304.8275862,7.354496606
Astragalus buchtormiensis,2017,309.9415205,8.392886792
Astragalus cornutus,2016,409.0441176,7.384596441
Astragalus macropus,2017,251.4705882,17.38157895
Astragalus macropus,2017,310.5072464,9.840863477
Astragalus macropus,2016,315.0806452,12.59868953
Astragalus onobrychis,2017,244.7635135,12.10126294
Astragalus onobrychis,2017,276.6958425,8.505247133
Astragalus onobrychis,2017,245.0124688,8.391440204
Astragalus onobrychis,2016,238.1781377,15.22583886
Astragalus testiculatus,2017,374.3589744,7.149109589
Astragalus testiculatus,2017,354.2168675,9.364489796
Astragalus testiculatus,2016,365.2307692,13.57852148
Atraphaxis decipiens,2017,445.2380952,6.771871658
Atraphaxis decipiens,2017,416.0714286,7.418841202
Atraphaxis decipiens,2017,535.2941176,8.135
Atraphaxis frutescens,2016,368.8043478,7.418744474
Atraphaxis frutescens,2016,307.1978022,11.25565552
Atriplex cana,2017,256.6666667,7.569090909
Atriplex cana,2016,253.5632184,7.282398005
Atriplex cana,2016,247.6492537,7.108942293
Bassia sedoides,2017,210.8695652,11.2571134
Bassia sedoides,2016,481.2903226,4.98211126
Bassia sedoides,2016,275.6097561,5.431608407
Berteroa incana,2016,283.381295,14.41400355
Erucastrum armoracioides,2016,142.9514416,13.93873149
Bromopsis inermis,2017,323.5507246,18.19090705
Bromopsis inermis,2017,400,14.5214
Camphorosma monspeliaca,2017,308.3333333,15.61486486
Camphorosma monspeliaca,2016,413.1756757,7.199153285
Camphorosma monspeliaca,2016,339,8.296961652
Caragana balchaschensis,2017,405,9.959320988
Carex stenophylla,2017,460.2272727,10.64153086
Carex stenophylla,2017,448.8372093,12.19634715
Carex supina,2017,441.8918919,14.98308869
Carex supina,2017,452,12.7059292
Carex supina,2016,489.6226415,15.09801541
Carex supina,2016,532.4324324,12.35638579
Centaurea scabiosa,2017,260.7784431,12.37401148
Centaurea scabiosa,2016,245.2531646,10.25075957
Centaurea sibirica,2016,296.0267857,9.981375358
Ceratocarpus arenarius,2017,400,13.48484375
Ceratocarpus arenarius,2016,323.1818182,13.57351617
Ceratocarpus arenarius,2016,372.5,14.59196868
Ceratocarpus arenarius,2016,435,10.3220546
Ceratocarpus arenarius,2016,443.2,12.5816426
Ceratocephala falcata,2016,222.7272727,21.75828571
Cirsium setosum,2017,165.159129,13.00167596
Convolvulus arvensis,2017,179.0322581,26.84387387
Convolvulus arvensis,2017,261.3970588,17.22649789
Convolvulus arvensis,2017,224.1935484,25.26708633
Convolvulus arvensis,2016,186.0968661,25.62946111
Crepis tectorum,2017,213.0434783,18.59459184
Descurainia sophia,2016,226.8,15.46899471
Descurainia sophia,2016,259.3548387,13.19651741
Descurainia sophia,2016,292.7067669,
Descurainia sophia,2016,,27.05075718
Dianthus borbasii,2016,354.4444444,9.655495298
Dodartia orientalis,2017,291.4012739,3.306
Dodartia orientalis Blätter,2017,330,12.88191919
Dodartia orientalis Stängel,2017,320.212766,4.253211517
Dracocephalum thymiflorum,2017,195.1219512,21.646125
Echinops ruthenicus,2016,302.0853081,8.90910888
Elaeagnus angustifolia,2017,395.890411,14.04422145
Elytrigia repens,2017,327.7511962,16.12475912
Elytrigia repens,2017,409.7560976,13.6477381
Elytrigia repens,2017,355.6451613,14.73235828
Elytrigia repens,2017,364.1791045,14.43014344
Elytrigia repens,2016,391.9774011,17.5318305
Ephedra distachya,2016,406.57277,3.132263279
Eremogone koriniana,2016,346.2068966,11.68773904
Eremogone longifolia,2017,422,11.73388626
Eremogone longifolia,2017,333.5820896,11.66442953
Eremogone longifolia,2017,416.6666667,10.30376
Eremogone longifolia ,2017,257.8740157,9.99740458
Eremopyrum orientale,2017,285.4166667,20.64255474
Eremopyrum orientale,2016,209.4444444,35.17899204
Eremopyrum orientale,2016,202.5,26.64769547
Eremopyrum triticeum,2016,338.75,21.28291513
Eremopyrum triticeum,2016,235,29.00180851
Eremopyrum triticeum,2016,310,25.18058065
Eryngium planum,2016,209.9339498,16.08115026
Erysimum hieracifolium,2017,278.2051282,11.84769585
Erysimum hieracifolium,2016,242.5,13.85649485
Euphorbia esula,2017,350,13.38142857
Euphorbia virgata,2017,323.1343284,15.42524249
Euphorbia virgata,2017,306.372549,15.165872
Euphorbia virgata,2016,289.5876289,23.65847277
Ferula caspica,2017,172.102649,12.0307696
Ferula soongarica,2016,260.25,15.6631172
Ferula tatarica,2017,232.6388889,12.54007463
Ferula tatarica,2017,258.9460784,11.08092759
Ferula tatarica,2017,182.8648649,11.40845108
Ferula tatarica,2016,254.9019608,10.83338462
Festuca valesiaca,2016,489.6202532,5.925271458
Filago arvensis,2016,447.2727273,22.0051626
Filipendula vulgaris,2017,277.4703557,7.902118946
Filipendula vulgaris,2017,322.3760933,10.74078001
Galatella biflora,2016,302.7,11.73070367
Galatella biflora,2016,225.229682,14.26374804
Galatella tatarica,2017,311.1111111,17.34057143
Galatella tatarica,2016,303.8095238,10.21325235
Galatella tatarica,2016,262.7368421,13.50211739
Galatella villosa,2017,281.25,13.98958333
Galatella villosa,2017,327.7777778,13.50179661
Galatella villosa,2017,397.7272727,14.53548571
Galatella villosa,2017,360.9756098,11.85665541
Galatella villosa,2016,353.046875,13.45883381
Galatella villosa,2016,261.3868613,23.52912036
Galitzkya spathulata,2017,380.952381,8.7401875
Galium ruthenicum,2017,166.3043478,13.39705882
Galium ruthenicum,2017,322.8571429,11.6219469
Galium ruthenicum,2017,391.8918919,9.698482759
Galium ruthenicum,2017,298.3870968,10.28362162
Galium ruthenicum,2017,371.4285714,10.71012821
Galium ruthenicum,2017,403.8461538,10.75085714
Galium ruthenicum,2016,438.8135593,10.7261066
Glycyrrhiza uralensis,2017,291.4141414,12.15152513
Glycyrrhiza uralensis,2017,383.3333333,10.78223819
Glycyrrhiza uralensis,2017,257.704918,20.89461832
Glycyrrhiza uralensis,2017,291.7567568,15.07114868
Glycyrrhiza uralensis,2016,371.25,11.39191193
Gypsophila paniculata,2017,176.2790698,12.44122691
Gypsophila paniculata,2017,163.6986301,20.64389121
Gypsophila paniculata,2017,165.7794677,11.57790138
Gypsophila paniculata,2016,202.4456522,11.31456913
Gypsophila paniculata,2016,170.2644231,14.37876182
Halimione verrucifera,2017,199.6932515,9.581981567
Halimione verrucifera,2017,177.1929825,9.722409241
Halimione verrucifera,2016,231.9101124,10.24419089
Halimione verrucifera,2016,168.1333333,10.72070182
Halocnemum strobilaceum,2017,162.8378378,4.134605809
Halocnemum strobilaceum,2016,190.3529412,4.229927379
Helichrysum arenarium,2016,333.125,18.34591745
Hieracium echioides,2017,190.1960784,16.89487113
Hieracium echioides,2017,235.2941176,13.57278125
Hieracium echioides,2016,181.3220339,15.97932511
