Species,LDMC,SLA
Achillea micrantha,354.8,NA
Achillea nobilis,304.3,14.4
Achnatherum splendens,400.8,7.3
Acroptilon repens,211,13.8
Adonis volgensis,282.9,16.5
Agropyron pectinatum,424,12.4
Alhagi pseudalhagi,271.4,6.8
Allium flavescens,135.7,13.8
Alopecurus pratensis,443.5,12.1
Alyssum turkestanicum,277.1,14
Anabasis salsa,260.4,3.7
Ancathia igniaria,357,8.9
Artemisia abrotanum,232.1,28.7
Artemisia austriaca,444.6,14.9
Artemisia dracunculus,247,12.6
Artemisia gracilescens,317.4,15.9
Artemisia latifolia,300.8,12.3
Artemisia marschalliana,251.4,17.4
Artemisia nitrosa,363.9,10.9
Artemisia pauciflora,353,13.7
Artemisia pontica,388.8,15.3
Artemisia schrenkiana,328.7,17.3
Asparagus,266.3,6.4
Astragalus buchtormiensis,312.1,8.1
Astragalus cornutus,409,7.4
Astragalus macropus,292.4,13.3
Astragalus onobrychis,251.2,11.1
Astragalus testiculatus,364.6,10
Atraphaxis decipiens,465.5,7.4
Atraphaxis frutescens,338,9.3
Atriplex cana,252.6,7.3
Bassia sedoides,322.6,7.2
Berteroa incana,283.4,14.4
Bromopsis inermis,361.8,16.4
Camphorosma monspeliaca,353.5,10.4
Caragana balchaschensis,405,10
Carex stenophylla,454.5,11.4
Carex supina,479,13.8
Centaurea scabiosa,253,11.3
Centaurea sibirica,296,10
Ceratocarpus arenarius,394.8,12.9
Ceratocephala falcata,222.7,21.8
Cirsium setosum,165.2,13
Convolvulus arvensis,212.7,23.7
Crepis tectorum,213,18.6
Descurainia sophia,259.6,18.6
Dianthus borbasii,354.4,9.7
Dodartia orientalis,291.4,3.3
Dodartia orientalis Blätter,330,12.9
Dodartia orientalis Stängel,320.2,4.3
Dracocephalum thymiflorum,195.1,21.6
Echinops ruthenicus,302.1,8.9
Elaeagnus angustifolia,395.9,14
Elytrigia repens,369.9,15.3
Ephedra distachya,406.6,3.1
Eremogone koriniana,346.2,11.7
Eremogone longifolia,357.5,10.9
Eremopyrum orientale,232.5,27.5
Eremopyrum triticeum,294.6,25.2
Erucastrum armoracioides,143,13.9
Eryngium planum,209.9,16.1
Erysimum hieracifolium,260.4,12.9
Euphorbia esula,350,13.4
Euphorbia virgata,306.4,18.1
Ferula caspica,172.1,12
Ferula soongarica,260.3,15.7
Ferula tatarica,232.3,11.5
Festuca valesiaca,489.6,5.9
Filago arvensis,447.3,22
Filipendula vulgaris,299.9,9.3
Galatella biflora,264,13
Galatella tatarica,292.6,13.7
Galatella villosa,330.4,15.1
Galitzkya spathulata,381,8.7
Galium ruthenicum,341.9,11
Glycyrrhiza uralensis,319.1,14.1
Gypsophila paniculata,175.7,14.1
Halimione verrucifera,194.2,10.1
Halocnemum strobilaceum,176.6,4.2
Helichrysum arenarium,333.1,18.3
Hieracium echioides,202.3,15.5
Hieracium virosum,191.9,21
Hierochloe odorata,381.1,13.1
Hulthemia berberifolia,433.7,9.8
Iris halophila,258.3,9.6
Iris scariosa,151.1,14
Iris tenuifolia,295.5,9.5
Isatis costata,183.1,18
Jurinea cyanoides,333.5,7.4
Jurinea multiflora,283.5,13.6
Jurinea xerophytica,244.0,10.0
Kochia prostrata,318.5,12.5
Koeleria macrantha,397.9,10.7
Lactuca tatarica,148.4,16.6
Lappula squarrosa,277.6,17.9
Lappula stricta,308.2,18.5
Lepidium perfoliatum,232,22.9
Leymus angustus,352.1,7
Leymus ramosus,394.4,13
Limonium gmelinii,268.2,9.4
Limonium sareptanum,264.3,11
Limonium suffruticosum,299.5,7.2
Linaria incopleta,286.4,11.1
Medicago falcata,328.1,15.8
Melilotus officinalis,220.4,21.3
Nepeta ucrainica,263.2,15.3
Nonea pulla,214.5,14.3
Onobrychis viciifolia,270.4,12
Onosma simplicissima,360.7,9
Onosma tinctoria,276.6,11
Oxytropis pilosa,323.5,15.4
Palimbia salsa,210.2,13.2
Pedicularis dasystachys,280.3,10.9
Pedicularis physocalyx,289.4,12.1
Petrosimonia litwinowii,160.3,4.8
Phlomoides agraria,285,15.2
Phlomoides tuberosa,321.6,13.3
Plantago maxima,252,9.8
Plantago media,218.5,12.4
Poa angustifolius,414.6,9.2
Poa bulbosa,212.5,19.2
Poa versicolor,410.2,12.4
Polygonum aviculare,261.4,18
Polygonum patulum,280,17.1
Potentilla arenaria,463.3,12
Potentilla argentea,384.4,14.8
Potentilla bifurca,413.2,11.2
Potentilla humifusa,443.2,9.9
Psathyrostachys juncea,367.3,11.2
Pseudosophora alopecuroides,350,13.5
Puccinellia tenuissima,436,10.9
Pulsatilla patens,376.6,11.3
Rheum tataricum,156.8,9.7
Rorippa brachycarpa,169.4,25.6
Rosa,411.2,14.4
Salsola kali,265.3,7.6
Salvia stepposa,259.7,20.6
Scorzonera austriaca,218.6,12.5
Scorzonera inconspicua,220.9,11.1
Scorzonera parviflora,212.9,17.1
Scorzonera stricta,209.5,15.6
Scutellaria grandiflora,314.3,11
Senecio dubitabilis,115.9,27.1
Serratula cardunculus,209.5,21.8
Serratula dissecta,235.4,11.2
Serratula kirghisorum,240.6,15.9
Seseli ledebourii,353.4,9.9
Seseli libanotis,250.4,8.2
Silaum silaus,282.1,9.9
Silene wolgensis,295.9,11.2
Sisymbrium polymorphum,331.3,13.2
Spiraea crenata,466,12.3
Spiraea hypericifolia,553.3,12.4
Stipa capillata,563,6.2
Stipa lessingiana,522.7,8.4
Stipa pennata,574,9.1
Stipa richteriana,587,8.8
Stipa sareptana,552.7,6.6
Stipa zalesskii,564.5,5.2
Syrenia silicousa,272.3,7.1
Sysimbrium polimorpha,207.8,11.9
Tamarix gracilis,392.4,9.7
Tanacetum achilleifolium,311.9,11.7
Tanacetum santolina,278.7,8.9
Thymus marschallianus,282.1,21.9
Tragopogon capitatus,202.3,19.9
Tragopogon ruber,147.7,16.3
Trinia muricata,377.4,7.4
Tripleurospermum perforatum,212,16.1
Tulipa gesneriana,145,14
Verbascum phoenicium,220.6,12.9
Veronica incana,293,14.5
Veronica spicata,318.6,10.9
Veronica spuria,310.2,11.5
