"SBS.name","height","SLA","mean.LMDC..mg.g."
"1","Abies alba",50,5.87,331.93
"2","Abies grandis",50,NA,NA
"3","Abies nordmanniana",30,NA,NA
"4","Acaena anserinifolia",0.15,NA,NA
"5","Acer campestre",13.4214285714286,14.6666666666667,360.5
"6","Acer monspessulanum",11,12.3666666666667,428.75
"7","Acer negundo",11.5,27,NA
"8","Acer opalus",12,16.28677982,NA
"9","Acer platanoides",26.25,19.655377594,274
"10","Acer pseudoplatanus",27.3333333333333,16.7561325125,262.5
"11","Acer saccharinum",40,NA,NA
"12","Aceras anthropophorum",0.15,29.005,73.825
"13","Achillea atrata",0.115,NA,NA
"14","Achillea cartilaginea",0.625,22.42,203.6
"15","Achillea clavennae",0.115,NA,NA
"16","Achillea collina",0.55,19.12,186.29
"17","Achillea macrophylla",0.6025,20.655,214.385
"18","Achillea millefolium",0.3955,18.8020446281818,184.1
"19","Achillea nobilis",0.4,NA,NA
"20","Achillea pannonica",0.45,8.115,339.585
"21","Achillea ptarmica",0.775,16.48330748825,213
"22","Achillea roseo-alba",0.436666666666667,NA,NA
"23","Achillea setacea",0.225,NA,NA
"24","Acinos alpinus",0.175,NA,NA
"25","Acinos arvensis",0.2,19.2375,236.8125
"26","Aconitum napellus",0.725,20.28,173.37
"27","Aconitum variegatum",1.05,NA,NA
"28","Acorus calamus",0.9,18.1625,248.875
"29","Acroptilon repens",0.55,NA,NA
"30","Actaea spicata",0.408333333333333,38.415,246.18
"31","Adenophora lilifolia",0.45,NA,NA
"32","Adenostyles alliariae",0.7,24.965,120.005
"33","Adenostyles alpina subsp. alpina",0.5,NA,NA
"34","Adonis aestivalis",0.325,42.07,120.2
"35","Adonis annua",0.175,NA,NA
"36","Adonis flammea",0.325,NA,NA
"37","Adonis vernalis",0.225,15.31362235,358.795
"38","Adoxa moschatellina",0.07,38.45,136.666666666667
"39","Aegilops geniculata",0.086,23.725,260.666666666667
"40","Aegopodium podagraria",0.558333333333333,28.8353787875,230
"41","Aesculus hippocastanum",20,13.7,251.5
"42","Aethionema saxatile",0.1,NA,NA
"43","Aethusa cynapium",0.441666666666667,32.778,192.885
"44","Agrimonia eupatoria",0.333333333333333,18.8175,339.5
"45","Agrimonia procera",0.95,19.5233333333333,308.653333333333
"46","Agrostemma githago",0.66,17.75,209.19
